project_id,series,uart_port,baud,brr_value,printf_baud,source_file,source_line,#,confidence,basis
evt-v003-iap,CH32V003,USART1,460800,0X34,,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c
evt-v00x-iap,CH32V00X,USART1,460800,0X34,,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c
evt-v103-iap,CH32V103,USART3,57600,,115200,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c
evt-v205-iap,CH32V205,USART2,460800,,115200,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c,,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c
evt-v20x-iap,CH32V20x,USART3,460800,,115200,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/main.c,,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/main.c
evt-v30x-iap,CH32V30x,USART3,460800,,115200,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/main.c,,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/main.c
evt-v407-iap,CH32V407,USART2,460800,,115200,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/main.c,,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/main.c
evt-x035-iap,CH32X035,USART2,460800,,115200,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/main.c,,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/main.c
evt-x315-iap,CH32X315,USART2,460800,,115200,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/main.c,,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/main.c
evt-l103-iap,CH32L103,USART2,460800,,115200,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/main.c,,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/main.c
evt-m030-iap,CH32M030,USART1,460800,,,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/main.c,,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/main.c
evt-h417-v3f-iap,CH32H417,,,,115200,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V3F/User/main.c,,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V3F/User/main.c
evt-h417-v5f-iap,CH32H417,,,,115200,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V5F/User/main.c,,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V5F/User/main.c
oss-rv003usb-bl,CH32V003,,,,,,,#,single-source,
oss-ch32fun-bl,CH32X035;CH5xx,,,,,,,#,single-source,
